Year,Company,Returns,Benchmark,Overtaking,Min Predict Return,Mean Predict Return,Max Predict Return
2021.0,ADBE,0.1683768117965084,0.0926160545459482,1.0,-0.0022936394,0.27742531806000004,0.6245316
2021.0,ASML,0.592280029296875,0.0926160545459482,1.0,0.116010584,0.2909748244,0.5507329
2021.0,BIIB,-0.0124716971284522,0.0926160545459482,0.0,0.2495695,0.7887751669999999,1.3301357
2021.0,GOOG,0.6742987688290972,0.0926160545459482,1.0,0.050053038,0.2050569958,0.30167556
2021.0,LULU,0.0983446097384813,0.0926160545459482,1.0,0.43196243,0.875075917,1.418485
2021.0,MELI,-0.177804863162157,0.0926160545459482,0.0,0.21727273,0.6321623009999999,1.1810838
2021.0,NVDA,1.2428032003023484,0.0926160545459482,1.0,0.19716279,1.245321186,1.8051234
2021.0,ROST,-0.023831903329634,0.0926160545459482,0.0,0.031691674,0.5640416014,1.0991715
2021.0,SBUX,0.1345296115602126,0.0926160545459482,1.0,-0.8043073,0.20871396140000004,0.62094706
2021.0,SGEN,-0.0821111866868486,0.0926160545459482,0.0,-0.019488903,0.28269810447,1.0338545
2021.0,TSLA,0.4481000877175962,0.0926160545459482,1.0,0.4005216,1.78653293,2.8876417
2020.0,ALGN,0.8837423106308279,-0.1255196621790436,1.0,0.0048131235,0.8654630733500002,1.3539639
2020.0,DLTR,0.1520580328625313,-0.1255196621790436,1.0,0.17832674,0.36113601300000003,0.68551123
2020.0,FISV,-0.0143697721689163,-0.1255196621790436,1.0,-0.3278868,0.2148351247,0.6311238
2020.0,MELI,1.7454071092618215,-0.1255196621790436,1.0,0.13805889,0.9009940010000002,1.7127128
2020.0,MTCH,0.7958189577988196,-0.1255196621790436,1.0,0.25217178,0.520748088,1.0560918
2020.0,ORLY,0.0343984702149839,-0.1255196621790436,1.0,0.20976305,0.30216362599999996,0.5272792
2020.0,WBA,-0.3249830766397709,-0.1255196621790436,0.0,0.11232591,0.40551067199999996,0.66341674
2019.0,ADI,0.3831471004481914,0.0605287430769083,1.0,0.18158862,1.531059479,3.2720327
2019.0,ALGN,0.3805660760239816,0.0605287430769083,1.0,2.776875,4.690440140000001,6.332211
2019.0,AMAT,0.823178068999762,0.0605287430769083,1.0,0.3666435,0.695619461,1.2072378
2019.0,ASML,0.893410087416361,0.0605287430769083,1.0,0.42157242,1.0279506260000002,1.6019249
2019.0,BIIB,-0.0261248855928867,0.0605287430769083,0.0,-0.031800266,1.0529055634,2.5538602
2019.0,BKNG,0.1928501125128561,0.0605287430769083,1.0,0.039471626,0.5018815786,1.071223
2019.0,CHTR,0.6843640509084805,0.0605287430769083,1.0,-0.13420224,0.478169003,0.81904924
2019.0,CPRT,0.907298696714448,0.0605287430769083,1.0,0.2685503,0.467296138,0.6903924
2019.0,ILMN,0.1263751276962574,0.0605287430769083,1.0,-0.14925656,0.538113946,1.4593412
2019.0,LRCX,1.11424430545425,0.0605287430769083,1.0,0.18933827,1.2393856429999999,2.7946265
2019.0,MELI,0.9191972876723776,0.0605287430769083,1.0,0.4129728,0.737778547,1.0916314
2019.0,MTCH,0.9374704705264236,0.0605287430769083,1.0,0.51494825,0.771361363,1.2797921
2019.0,NFLX,0.2088844164131801,0.0605287430769083,1.0,0.20465007,1.642501004,2.430857
2019.0,NVDA,0.7273528185521423,0.0605287430769083,1.0,0.34322867,1.680919557,2.245836
2019.0,NXPI,0.6961216074462404,0.0605287430769083,1.0,0.0046936893,0.49934429842999994,1.4962196
2019.0,PCAR,0.3670929422695088,0.0605287430769083,1.0,0.13535056,0.5588067969999999,1.1573812
2019.0,ROST,0.3895917864075477,0.0605287430769083,1.0,0.2750092,0.8769596140000001,1.4817363
2019.0,SIRI,0.2118644033550908,0.0605287430769083,1.0,-0.2357696,1.4416444400000004,2.3708582
2018.0,ALGN,-0.0676253351064379,-0.1053960393890356,1.0,-0.036168613,0.5630642882,1.1081922
2018.0,ANSS,-0.0377650656014926,-0.1053960393890356,1.0,0.10307014,0.31230528399999996,0.58780587
2018.0,ASML,-0.1244021895113658,-0.1053960393890356,0.0,0.03945941,0.5914035820000001,1.1108395
2018.0,ATVI,-0.2758513223018919,-0.1053960393890356,0.0,0.02825383,0.4090478909999999,0.7432378
2018.0,BKNG,-0.0349236341530676,-0.1053960393890356,1.0,0.02502979,0.3499182676000001,0.6492284
2018.0,CHTR,-0.1833968529562051,-0.1053960393890356,0.0,-0.7894467,0.21910388909999998,0.8018696
2018.0,CMCSA,-0.1709276968572355,-0.1053960393890356,0.0,-0.0714353,0.34845135800000004,0.6311458
2018.0,DXCM,1.065873419283633,-0.1053960393890356,1.0,-0.22319046,0.3484751662,0.90456086
2018.0,EA,-0.2790314676808522,-0.1053960393890356,0.0,0.22977784,0.4462772159999999,0.8169009
2018.0,GILD,-0.1558704382577592,-0.1053960393890356,0.0,0.021181047,0.3547936917,0.87632155
2018.0,GOOG,-0.0275962578858568,-0.1053960393890356,1.0,-0.11854188,0.2014522491,0.45614904
2018.0,MELI,-0.0921631276157604,-0.1053960393890356,1.0,0.024571542,0.2857188812,0.64649904
2018.0,PCAR,-0.2174746368592972,-0.1053960393890356,0.0,0.13703515,0.38488653000000006,1.026413
2018.0,TCOM,-0.4126329575603955,-0.1053960393890356,0.0,-0.050215475,0.3217585245,0.82666206
2018.0,TMUS,-0.0067145580735231,-0.1053960393890356,1.0,0.16748744,0.47500905600000004,1.1670465
2018.0,TSLA,0.0382802646164202,-0.1053960393890356,1.0,-0.5232485,0.3134424241699999,0.8458962
2017.0,ANSS,0.5810390867741276,0.1738375893040539,1.0,0.026007755,0.2606038215,0.4891943
2017.0,AVGO,0.4405068922943712,0.1738375893040539,1.0,0.044722717,0.5575971257000001,1.0115561
2017.0,BIIB,0.0920778055463929,0.1738375893040539,0.0,0.8215145,2.20461867,4.5938406
2017.0,CERN,0.3641699859937294,0.1738375893040539,1.0,0.13616844,0.41102638599999997,0.7313881
2017.0,CHTR,0.1756307672986789,0.1738375893040539,1.0,-0.19406824,0.42252806849999996,1.0066535
2017.0,GOOG,0.3310606315873814,0.1738375893040539,1.0,0.120409735,0.41317517649999996,0.6627799
2017.0,ILMN,0.6662090853151644,0.1738375893040539,1.0,0.71379054,1.0197933110000001,1.216739
2017.0,LULU,0.1756170251569161,0.1738375893040539,1.0,0.15613195,0.7898016949999999,1.3421612
2017.0,MELI,0.9541671550925755,0.1738375893040539,1.0,0.05457773,0.499458969,1.2425855
2017.0,MNST,0.3897672297575196,0.1738375893040539,1.0,0.100117184,1.2062952104,2.1992245
2017.0,NVDA,0.8968728158792519,0.1738375893040539,1.0,0.07855421,0.447400785,0.81427336
2017.0,ORLY,-0.14343712337982,0.1738375893040539,0.0,0.054127797,0.2532211842,0.5425697
2017.0,ROST,0.2231367055853772,0.1738375893040539,1.0,0.05347485,0.554362068,1.0996307
2017.0,WBA,-0.1246383371745471,0.1738375893040539,0.0,0.11303144,0.3987147,0.80195355
